iter	Passed	Remaining
0	122	122866
1	124	62081
2	125	41702
3	126	31494
4	130	25958
5	131	21779
6	132	18866
7	134	16654
8	135	14962
9	136	13553
10	138	12412
11	139	11451
12	140	10647
13	141	9950
14	142	9346
15	143	8849
16	144	8377
17	145	7951
18	146	7569
19	148	7261
20	149	6976
21	150	6704
22	152	6459
23	153	6224
24	154	6014
25	155	5814
26	156	5627
27	157	5460
28	158	5299
29	159	5148
30	160	5005
31	161	4878
32	162	4763
33	163	4651
34	165	4549
35	166	4445
36	167	4349
37	168	4269
38	169	4181
39	170	4096
40	171	4015
41	172	3940
42	173	3865
43	174	3791
44	177	3772
45	179	3714
46	180	3654
47	181	3598
48	182	3542
49	183	3488
50	184	3433
51	185	3384
52	186	3335
53	187	3285
54	188	3240
55	189	3195
56	190	3157
57	192	3119
58	193	3086
59	194	3051
60	195	3012
61	196	2976
62	198	2946
63	199	2915
64	200	2882
65	201	2848
66	202	2816
67	203	2785
68	204	2765
69	207	2753
70	208	2729
71	209	2701
72	210	2675
73	211	2650
74	212	2626
75	213	2600
76	214	2573
77	215	2546
78	216	2520
79	217	2495
80	217	2470
81	218	2448
82	219	2424
83	220	2404
84	221	2386
85	222	2369
86	224	2350
87	225	2335
88	226	2316
89	227	2298
90	228	2280
91	229	2260
92	229	2241
93	230	2222
94	231	2203
95	232	2186
96	233	2172
97	234	2158
98	235	2146
99	237	2134
100	238	2120
101	239	2108
102	240	2095
103	241	2081
104	242	2066
105	243	2051
106	244	2036
107	244	2022
108	245	2008
109	247	1998
110	248	1989
111	249	1979
112	250	1966
113	251	1956
114	252	1944
115	253	1933
116	254	1921
117	255	1909
118	256	1898
119	257	1886
120	258	1875
121	258	1863
122	259	1853
123	260	1842
124	262	1838
125	263	1830
126	264	1821
127	266	1814
128	267	1804
129	268	1797
130	269	1788
131	270	1779
132	271	1770
133	272	1760
134	273	1750
135	274	1741
136	274	1732
137	276	1725
138	277	1719
139	279	1714
140	280	1706
141	280	1697
142	282	1690
143	282	1681
144	283	1672
145	284	1664
146	285	1655
147	286	1647
148	286	1639
149	287	1630
150	288	1623
151	290	1618
152	291	1613
153	293	1611
154	294	1606
155	296	1601
156	297	1596
157	298	1589
158	299	1581
159	299	1574
160	300	1565
161	301	1558
162	302	1550
163	302	1543
164	303	1536
165	305	1536
166	307	1533
167	308	1529
168	310	1526
169	312	1523
170	313	1518
171	314	1511
172	314	1505
173	315	1499
174	316	1493
175	317	1488
176	319	1483
177	320	1478
178	321	1474
179	322	1469
180	323	1464
181	325	1460
182	326	1456
183	327	1452
184	328	1447
185	329	1441
186	330	1436
187	331	1430
188	332	1425
189	333	1423
190	335	1419
191	336	1415
192	337	1410
193	338	1405
194	339	1400
195	340	1397
196	341	1392
197	342	1387
198	343	1382
199	344	1377
200	345	1373
201	346	1368
202	347	1366
203	349	1362
204	350	1359
205	352	1359
206	353	1354
207	354	1350
208	355	1346
209	356	1341
210	357	1337
211	358	1332
212	359	1328
213	360	1324
214	361	1319
215	362	1317
216	364	1314
217	365	1311
218	366	1307
219	367	1303
220	368	1299
221	369	1295
222	370	1291
223	371	1287
224	372	1282
225	373	1279
226	374	1275
227	375	1271
228	377	1271
229	379	1269
230	380	1267
231	381	1264
232	382	1260
233	383	1256
234	384	1252
235	385	1248
236	386	1243
237	387	1239
238	387	1234
239	388	1230
240	389	1225
241	389	1221
242	391	1218
243	392	1215
244	393	1212
245	394	1210
246	395	1206
247	396	1203
248	397	1199
249	398	1196
250	399	1192
251	400	1188
252	401	1184
253	401	1180
254	402	1176
255	403	1172
256	404	1168
257	405	1165
258	406	1163
259	408	1161
260	409	1158
261	410	1155
262	411	1152
263	412	1149
264	413	1145
265	413	1142
266	414	1138
267	415	1135
268	416	1132
269	417	1129
270	418	1125
271	419	1122
272	420	1120
273	421	1117
274	423	1115
275	424	1112
276	425	1110
277	426	1107
278	427	1104
279	428	1102
280	429	1099
281	430	1097
282	431	1094
283	432	1091
284	434	1090
285	436	1088
286	437	1086
287	438	1084
288	439	1081
289	440	1078
290	441	1075
291	442	1072
292	443	1069
293	443	1066
294	444	1062
295	445	1059
296	446	1056
297	447	1053
298	447	1050
299	449	1047
300	450	1047
301	452	1045
302	453	1043
303	454	1040
304	455	1038
305	456	1036
306	457	1033
307	458	1030
308	459	1027
309	460	1024
310	461	1022
311	462	1019
312	463	1017
313	464	1015
314	465	1013
315	466	1010
316	467	1007
317	468	1004
318	469	1001
319	469	998
320	470	995
321	471	992
322	472	989
323	472	986
324	473	983
325	474	980
326	475	977
327	475	975
328	477	974
329	479	973
330	481	972
331	482	970
332	483	967
333	484	965
334	484	962
335	485	959
336	486	956
337	487	953
338	487	951
339	488	948
340	489	945
341	490	943
342	490	940
343	492	938
344	493	936
345	494	934
346	495	932
347	496	929
348	497	927
349	498	924
350	499	922
351	500	920
352	500	918
353	501	915
354	502	913
355	503	910
356	504	907
357	504	905
358	506	904
359	507	902
360	509	901
361	510	899
362	511	897
363	512	894
364	513	892
365	514	890
366	514	888
367	515	885
368	516	883
369	517	880
370	518	878
371	518	875
372	519	873
373	521	872
374	522	870
375	523	868
376	524	866
377	525	864
378	526	862
379	527	860
380	528	858
381	529	856
382	529	853
383	530	851
384	531	848
385	532	846
386	532	843
387	533	841
388	534	839
389	536	839
390	537	837
391	538	835
392	539	833
393	540	831
394	541	829
395	542	827
396	543	824
397	543	822
398	544	820
399	545	818
400	546	815
401	547	813
402	547	811
403	548	809
404	549	807
405	550	806
406	552	804
407	553	802
408	554	800
409	555	799
410	556	797
411	557	795
412	558	793
413	559	791
414	560	789
415	561	787
416	562	785
417	563	783
418	577	800
419	578	798
420	579	797
421	580	795
422	582	794
423	583	792
424	584	790
425	585	788
426	586	786
427	587	784
428	588	782
429	589	780
430	589	778
431	590	776
432	591	774
433	592	772
434	593	770
435	594	768
436	595	767
437	596	765
438	598	764
439	599	762
440	600	760
441	601	759
442	602	757
443	602	755
444	603	752
445	604	750
446	605	748
447	606	746
448	606	744
449	607	742
450	608	740
451	609	739
452	611	737
453	612	736
454	613	735
455	614	733
456	615	731
457	616	729
458	617	728
459	619	726
460	620	724
461	620	723
462	622	721
463	623	719
464	624	718
465	626	717
466	627	715
467	628	714
468	629	712
469	630	710
470	631	709
471	632	707
472	633	705
473	634	703
474	634	701
475	635	699
476	636	698
477	637	696
478	639	695
479	640	693
480	641	692
481	643	691
482	644	690
483	645	688
484	646	686
485	647	684
486	648	682
487	649	680
488	649	679
489	650	677
490	651	675
491	652	673
492	653	672
493	654	670
494	656	669
495	656	667
496	657	665
497	658	663
498	659	662
499	660	660
500	661	658
501	661	656
502	662	654
503	663	653
504	664	651
505	665	649
506	666	647
507	667	646
508	668	645
509	670	643
510	671	642
511	672	640
512	673	639
513	674	637
514	675	636
515	676	634
516	677	632
517	678	631
518	678	629
519	679	627
520	681	626
521	682	625
522	684	624
523	685	622
524	686	620
525	687	619
526	688	617
527	689	616
528	690	614
529	691	612
530	691	611
531	692	609
532	693	607
533	695	607
534	698	607
535	699	605
536	700	604
537	701	602
538	702	600
539	703	599
540	704	597
541	704	595
542	705	593
543	706	592
544	707	590
545	708	588
546	709	587
547	710	585
548	711	584
549	713	583
550	713	581
551	714	580
552	715	578
553	716	577
554	717	575
555	718	573
556	719	572
557	720	571
558	722	569
559	723	568
560	725	567
561	726	566
562	727	564
563	729	564
564	730	562
565	732	561
566	733	560
567	734	558
568	735	557
569	736	555
570	737	553
571	738	552
572	739	551
573	741	550
574	743	549
575	744	547
576	745	546
577	746	545
578	747	543
579	748	542
580	749	540
581	750	539
582	751	537
583	754	537
584	756	536
585	758	535
586	759	534
587	760	532
588	761	531
589	762	529
590	763	528
591	764	526
592	765	525
593	766	523
594	768	523
595	770	522
596	771	520
597	772	519
598	772	517
599	773	515
600	774	514
601	775	512
602	776	511
603	777	509
604	778	508
605	779	506
606	780	505
607	781	503
608	783	502
609	784	501
610	785	500
611	786	498
612	788	497
613	789	496
614	790	494
615	791	493
616	791	491
617	792	489
618	793	488
619	794	486
620	795	485
621	796	484
622	797	482
623	799	481
624	800	480
625	801	478
626	802	477
627	803	475
628	804	474
629	805	472
630	805	471
631	806	469
632	807	468
633	809	467
634	810	465
635	811	464
636	813	463
637	814	462
638	815	460
639	816	459
640	817	457
641	818	456
642	819	454
643	820	453
644	821	451
645	822	450
646	823	449
647	824	448
648	826	446
649	827	445
650	829	444
651	830	443
652	831	442
653	833	440
654	834	439
655	835	438
656	836	436
657	837	435
658	839	434
659	840	433
660	843	432
661	844	431
662	845	429
663	846	428
664	848	427
665	849	426
666	850	424
667	852	423
668	853	422
669	855	421
670	857	420
671	859	419
672	860	418
673	861	416
674	862	415
675	864	414
676	865	412
677	866	411
678	867	410
679	869	409
680	872	408
681	873	407
682	875	406
683	877	405
684	878	404
685	880	402
686	881	401
687	883	400
688	886	400
689	887	398
690	888	397
691	890	396
692	891	394
693	892	393
694	893	392
695	894	390
696	897	390
697	900	389
698	901	388
699	902	386
700	904	385
701	905	384
702	906	383
703	907	381
704	909	380
705	910	379
706	913	378
707	915	377
708	916	376
709	918	375
710	919	373
711	920	372
712	922	371
713	923	369
714	924	368
715	927	368
716	929	367
717	931	365
718	933	364
719	934	363
720	936	362
721	937	360
722	938	359
723	941	358
724	945	358
725	947	357
726	949	356
727	950	355
728	952	353
729	953	352
730	958	352
731	960	351
732	961	350
733	962	348
734	963	347
735	964	346
736	965	344
737	967	343
738	968	341
739	973	342
740	975	340
741	976	339
742	977	338
743	978	336
744	979	335
745	980	333
746	981	332
747	982	331
748	983	329
749	985	328
750	986	327
751	987	325
752	989	324
753	990	323
754	991	321
755	992	320
756	993	318
757	994	317
758	995	316
759	996	314
760	997	313
761	999	312
762	1001	311
763	1002	309
764	1003	308
765	1005	307
766	1006	305
767	1007	304
768	1008	303
769	1010	301
770	1011	300
771	1012	298
772	1014	297
773	1015	296
774	1016	295
775	1017	293
776	1018	292
777	1019	290
778	1020	289
779	1022	288
780	1023	286
781	1024	285
782	1025	284
783	1025	282
784	1026	281
785	1028	280
786	1030	278
787	1031	277
788	1032	276
789	1033	274
790	1034	273
791	1035	271
792	1036	270
793	1037	269
794	1038	267
795	1039	266
796	1040	264
797	1041	263
798	1042	262
799	1043	260
800	1045	259
801	1046	258
802	1048	257
803	1049	255
804	1049	254
805	1050	252
806	1051	251
807	1052	250
808	1053	248
809	1054	247
810	1055	245
811	1056	244
812	1058	243
813	1059	242
814	1060	240
815	1061	239
816	1063	238
817	1064	236
818	1065	235
819	1066	234
820	1066	232
821	1067	231
822	1068	229
823	1069	228
824	1070	226
825	1071	225
826	1072	224
827	1074	223
828	1075	221
829	1076	220
830	1077	219
831	1078	217
832	1078	216
833	1079	214
834	1080	213
