iter	Passed	Remaining
0	156	156402
1	158	79061
2	159	53034
3	160	40072
4	163	32456
5	164	27304
6	166	23616
7	168	20867
8	170	18731
9	171	16971
10	172	15524
11	173	14320
12	175	13353
13	177	12491
14	178	11736
15	180	11081
16	181	10500
17	183	10024
18	185	9585
19	187	9193
20	189	8811
21	190	8466
22	193	8229
23	196	7984
24	197	7716
25	199	7468
26	200	7237
27	202	7018
28	203	6814
29	204	6625
30	206	6454
31	208	6292
32	209	6138
33	212	6025
34	213	5889
35	215	5772
36	217	5653
37	218	5536
38	220	5424
39	221	5317
40	222	5215
41	224	5116
42	225	5020
43	226	4931
44	228	4846
45	230	4774
46	231	4691
47	232	4612
48	233	4536
49	235	4465
50	236	4397
51	237	4330
52	238	4267
53	240	4204
54	241	4145
55	242	4095
56	244	4044
57	245	3990
58	246	3938
59	248	3889
60	249	3843
61	250	3796
62	252	3749
63	253	3705
64	254	3663
65	255	3622
66	257	3587
67	259	3550
68	260	3513
69	262	3482
70	263	3447
71	264	3413
72	266	3378
73	267	3343
74	268	3309
75	269	3275
76	270	3242
77	272	3216
78	273	3189
79	274	3159
80	275	3129
81	277	3102
82	278	3074
83	279	3048
84	280	3021
85	281	2995
86	283	2970
87	284	2944
88	285	2920
89	286	2899
90	288	2878
91	289	2856
92	290	2833
93	291	2811
94	292	2790
95	294	2769
96	295	2747
97	296	2727
98	297	2707
99	298	2688
100	299	2668
101	302	2659
102	303	2644
103	305	2628
104	306	2613
105	307	2597
106	309	2581
107	310	2563
108	311	2546
109	312	2530
110	313	2513
111	315	2497
112	316	2485
113	318	2471
114	319	2457
115	320	2443
116	321	2426
117	323	2414
118	324	2399
119	325	2385
120	326	2370
121	327	2355
122	328	2341
123	329	2328
124	330	2316
125	332	2305
126	333	2292
127	334	2279
128	335	2267
129	337	2256
130	338	2244
131	339	2232
132	340	2220
133	341	2208
134	342	2196
135	344	2185
136	345	2175
137	346	2165
138	348	2155
139	349	2145
140	350	2134
141	351	2122
142	352	2112
143	353	2103
144	355	2094
145	356	2085
146	357	2077
147	359	2067
148	360	2059
149	362	2052
150	363	2043
151	364	2034
152	365	2025
153	367	2018
154	368	2010
155	370	2003
156	371	1996
157	373	1988
158	374	1982
159	376	1977
160	377	1968
161	379	1962
162	381	1957
163	382	1950
164	383	1942
165	385	1936
166	386	1929
167	388	1923
168	389	1917
169	391	1911
170	392	1904
171	394	1897
172	395	1889
173	396	1882
174	397	1874
175	398	1867
176	399	1859
177	401	1852
178	402	1845
179	403	1838
180	404	1831
181	406	1825
182	407	1818
183	408	1810
184	409	1804
185	410	1797
186	411	1790
187	412	1783
188	414	1776
189	415	1770
190	416	1763
191	417	1757
192	418	1750
193	419	1744
194	421	1738
195	422	1732
196	423	1726
197	424	1720
198	425	1714
199	426	1707
200	428	1701
201	429	1695
202	430	1689
203	431	1684
204	432	1678
205	434	1673
206	435	1667
207	436	1662
208	437	1656
209	438	1651
210	440	1645
211	441	1639
212	442	1634
213	443	1628
214	444	1623
215	445	1618
216	447	1613
217	448	1608
218	449	1604
219	451	1601
220	452	1596
221	454	1591
222	455	1586
223	456	1581
224	457	1576
225	458	1571
226	460	1567
227	461	1562
228	462	1557
229	463	1552
230	464	1547
231	466	1543
232	467	1539
233	468	1534
234	469	1529
235	471	1524
236	472	1520
237	473	1515
238	474	1510
239	475	1505
240	476	1501
241	477	1496
242	478	1491
243	480	1487
244	481	1483
245	482	1479
246	483	1474
247	484	1470
248	486	1465
249	487	1461
250	488	1456
251	489	1453
252	490	1448
253	491	1444
254	492	1439
255	494	1435
256	495	1432
257	496	1428
258	498	1424
259	499	1420
260	500	1416
261	501	1412
262	502	1408
263	504	1405
264	505	1402
265	507	1399
266	508	1396
267	510	1393
268	511	1390
269	512	1386
270	513	1382
271	515	1378
272	516	1374
273	517	1371
274	518	1368
275	520	1364
276	521	1361
277	523	1358
278	524	1355
279	526	1353
280	527	1349
281	528	1346
282	530	1342
283	531	1339
284	532	1335
285	533	1331
286	534	1328
287	535	1324
288	537	1321
289	538	1317
290	539	1314
291	540	1311
292	542	1308
293	543	1305
294	545	1303
295	546	1300
296	548	1297
297	549	1295
298	551	1292
299	552	1289
300	553	1286
301	555	1283
302	556	1279
303	557	1276
304	558	1272
305	559	1269
306	560	1266
307	562	1262
308	563	1259
309	564	1256
310	565	1253
311	566	1250
312	568	1248
313	570	1246
314	572	1244
315	573	1241
316	574	1238
317	575	1235
318	577	1232
319	578	1228
320	579	1225
321	580	1222
322	581	1219
323	583	1216
324	584	1214
325	585	1211
326	587	1208
327	588	1205
328	589	1202
329	590	1199
330	592	1196
331	593	1193
332	594	1190
333	595	1187
334	596	1184
335	598	1182
336	599	1179
337	600	1176
338	602	1174
339	603	1171
340	605	1169
341	606	1166
342	607	1163
343	608	1160
344	609	1157
345	610	1154
346	612	1152
347	613	1150
348	615	1147
349	616	1145
350	617	1142
351	619	1139
352	620	1137
353	621	1134
354	622	1131
355	624	1129
356	625	1126
357	626	1124
358	628	1121
359	629	1119
360	631	1117
361	632	1114
362	633	1112
363	635	1109
364	636	1107
365	637	1105
366	639	1102
367	640	1100
368	642	1098
369	643	1096
370	645	1093
371	646	1091
372	647	1089
373	649	1086
374	650	1084
375	651	1081
376	653	1079
377	654	1076
378	655	1074
379	656	1071
380	658	1069
381	659	1066
382	660	1064
383	661	1061
384	662	1058
385	664	1056
386	665	1053
387	666	1050
388	667	1048
389	668	1045
390	669	1043
391	671	1040
392	672	1038
393	673	1036
394	674	1033
395	676	1031
396	677	1028
397	678	1026
398	679	1024
399	681	1021
400	682	1019
401	684	1017
402	685	1015
403	686	1013
404	688	1010
405	689	1008
406	690	1005
407	691	1003
408	692	1000
409	693	998
410	694	995
411	695	993
412	697	990
413	698	988
414	699	985
415	700	983
416	701	981
417	703	978
418	704	976
419	705	974
420	706	971
421	707	969
422	709	967
423	710	964
424	711	962
425	712	959
426	713	957
427	714	955
428	715	952
429	717	950
430	718	948
431	719	946
432	720	944
433	722	941
434	723	939
435	724	937
436	725	935
437	727	932
438	728	930
439	729	928
440	731	926
441	732	924
442	733	922
443	734	920
444	736	917
445	737	915
446	738	913
447	739	911
448	740	908
449	741	906
450	742	904
451	743	901
452	745	899
453	746	897
454	747	895
455	749	893
456	750	891
457	751	889
458	752	886
459	753	884
460	754	882
461	755	880
462	757	878
463	758	876
464	759	874
465	761	872
466	762	870
467	764	868
468	765	866
469	766	864
470	767	861
471	768	859
472	770	858
473	771	856
474	773	854
475	774	852
476	776	851
477	778	849
478	779	847
479	780	845
480	782	843
481	783	841
482	784	839
483	785	837
484	786	835
485	788	833
486	789	831
487	790	829
488	791	826
489	792	824
490	793	822
491	795	820
492	796	818
493	797	816
494	798	814
495	799	812
496	800	810
497	801	808
498	802	806
499	804	804
500	805	801
501	806	799
502	807	798
503	808	796
504	810	794
505	811	791
506	812	789
507	813	787
508	814	786
509	816	784
510	817	782
511	819	780
512	820	778
513	821	776
514	823	775
515	824	773
516	825	771
517	826	769
518	828	767
519	829	765
520	830	763
521	831	761
522	832	759
523	833	757
524	835	755
525	836	753
526	838	752
527	839	750
528	840	748
529	841	746
530	842	744
531	843	742
532	844	740
533	845	738
534	847	736
535	848	734
536	849	732
537	850	730
538	851	728
539	853	726
540	854	724
541	855	722
542	856	720
543	857	718
544	858	716
545	859	714
546	860	712
547	861	710
548	863	709
549	864	707
550	865	705
551	866	703
552	868	701
553	869	700
554	870	698
555	871	696
556	872	694
557	874	692
558	875	690
559	876	688
560	877	686
