iter	RMSE
0	14.05625727
1	13.22711295
2	12.37965162
3	11.76687737
4	11.05196407
5	10.49614512
6	10.04768659
7	9.651276459
8	9.300806723
9	8.970830273
10	8.571264896
11	8.238132454
12	7.923937051
13	7.658520442
14	7.450663773
15	7.21749983
16	7.009421569
17	6.85063826
18	6.683679887
19	6.554528904
20	6.436410692
21	6.336743254
22	6.255630106
23	6.173617607
24	6.107314729
25	6.053537804
26	5.992170887
27	5.919638739
28	5.877006653
29	5.825579519
30	5.792787023
31	5.741145926
32	5.707876793
33	5.684125937
34	5.645984739
35	5.621472624
36	5.593699985
37	5.569820482
38	5.548865689
39	5.534029715
40	5.518056646
41	5.502237028
42	5.481588195
43	5.463240939
44	5.441908409
45	5.427288907
46	5.412481133
47	5.400265708
48	5.386308404
49	5.375774826
50	5.369424477
51	5.357712657
52	5.340437583
53	5.328966337
54	5.318617634
55	5.311680576
56	5.306157507
57	5.299061353
58	5.294741134
59	5.283545212
60	5.27740399
61	5.270160417
62	5.25882983
63	5.24704101
64	5.240528979
65	5.235116755
66	5.218126292
67	5.210019628
68	5.197028795
69	5.184294614
70	5.175423631
71	5.165263065
72	5.15903366
73	5.148391949
74	5.134320205
75	5.130838729
76	5.125942041
77	5.11064511
78	5.10294931
79	5.098134613
80	5.088740133
81	5.084106378
82	5.079712809
83	5.072502979
84	5.055397961
85	5.050087163
86	5.045940397
87	5.040817
88	5.030907112
89	5.022090061
90	5.015575686
91	5.011232237
92	5.005481248
93	4.998892444
94	4.987461634
95	4.982083692
96	4.967379617
97	4.961310537
98	4.948551443
99	4.940083645
