iter	Passed	Remaining
0	0	83
1	1	74
2	2	72
3	2	70
4	3	72
5	4	70
6	5	67
7	5	65
8	6	63
9	6	62
10	7	60
11	8	59
12	8	59
13	9	58
14	10	57
15	10	56
16	11	56
17	12	55
18	12	54
19	13	53
20	14	52
21	14	52
22	15	51
23	16	50
24	16	50
25	17	50
26	18	50
27	19	49
28	20	49
29	21	49
30	21	48
31	22	47
32	23	47
33	24	46
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	39	31
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
